DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.298143	29	8	0	1	7	2	1	0	14713	28	0	38.8968	0	0
DL	0.298393	29	8	1	1	7	2	1	0	14713	28	0	38.9388	0	0
DL	0.298643	29	8	2	1	7	2	1	0	14713	28	0	38.953	0	0
DL	0.298893	29	8	3	1	7	2	1	0	14713	28	0	38.9024	0	0
DL	0.299143	29	9	0	1	7	2	1	0	14713	28	0	38.8524	0	0
DL	0.299393	29	9	1	1	7	2	1	0	14713	28	0	38.8772	0	0
DL	0.299643	29	9	2	1	7	2	1	0	14713	28	0	38.8525	0	0
DL	0.299893	29	9	3	1	7	2	1	0	14713	28	0	38.811	0	0
DL	0.300143	30	0	0	1	7	2	1	0	14713	28	0	38.7645	0	0
DL	0.300393	30	0	1	1	7	2	1	0	14713	28	0	29.1586	0	1.26827e-09
DL	0.300643	30	0	2	1	7	2	1	0	14713	28	0	29.1811	0	6.59717e-10
DL	0.300893	30	0	3	1	7	2	1	0	14713	28	0	29.177	0	4.6898e-10
DL	0.301143	30	1	0	1	7	2	1	0	14713	28	0	29.1539	0	5.44689e-10
DL	0.301393	30	1	1	1	7	2	1	0	14713	28	0	29.1965	0	4.84963e-10
DL	0.301643	30	1	2	1	7	2	1	0	14713	28	0	29.1463	0	6.53571e-10
DL	0.301893	30	1	3	1	7	2	1	0	14713	28	0	29.1551	0	7.56408e-10
DL	0.302143	30	2	0	1	7	2	1	0	14713	28	0	29.1817	0	7.18854e-10
DL	0.302393	30	2	1	1	7	2	1	0	14713	28	0	29.2099	0	5.59841e-10
DL	0.302643	30	2	2	1	7	2	1	0	14713	28	0	29.2054	0	5.22249e-10
DL	0.302893	30	2	3	1	7	2	1	0	14713	28	0	29.2044	0	5.31037e-10
DL	0.303143	30	3	0	1	7	2	1	0	14713	28	0	29.246	0	4.89524e-10
DL	0.303393	30	3	1	1	7	2	1	0	14713	28	0	29.2647	0	6.34603e-10
DL	0.303643	30	3	2	1	7	2	1	0	14713	28	0	29.3	0	1.00818e-09
DL	0.303893	30	3	3	1	7	2	1	0	14713	28	0	29.3172	0	1.43901e-09
DL	0.304143	30	4	0	1	7	2	1	0	14713	28	0	29.249	0	1.46032e-09
DL	0.304393	30	4	1	1	7	2	1	0	14713	28	0	29.2276	0	9.49565e-10
DL	0.304643	30	4	2	1	7	2	1	0	14713	28	0	29.2525	0	6.36717e-10
DL	0.304893	30	4	3	1	7	2	1	0	14713	28	0	29.2572	0	5.87241e-10
DL	0.305143	30	5	0	1	7	2	1	0	14713	28	0	29.3134	0	4.63374e-10
DL	0.305393	30	5	1	1	7	2	1	0	14713	28	0	29.1771	0	6.85283e-10
DL	0.305643	30	5	2	1	7	2	1	0	14713	28	0	29.1638	0	8.54072e-10
DL	0.305893	30	5	3	1	7	2	1	0	14713	28	0	29.1649	0	1.09749e-09
DL	0.306143	30	6	0	1	7	2	1	0	14713	28	0	29.1864	0	1.32562e-09
DL	0.306393	30	6	1	1	7	2	1	0	14713	28	0	29.1596	0	2.17571e-09
DL	0.306643	30	6	2	1	7	2	1	0	14713	28	0	29.1775	0	2.16034e-09
DL	0.306893	30	6	3	1	7	2	1	0	14713	28	0	29.1772	0	2.52252e-09
DL	0.307143	30	7	0	1	7	2	1	0	14713	28	0	29.148	0	3.23348e-09
DL	0.307393	30	7	1	1	7	2	1	0	14713	28	0	29.1635	0	3.80478e-09
UL	0.307411	30	7	1	8	1	2	1	0	2104	28	0	29.0895 	0	5.32076e-08
DL	0.307643	30	7	2	1	7	2	1	0	14713	28	0	29.1076	0	6.1488e-09
UL	0.307661	30	7	2	8	1	2	1	0	2104	28	0	29.0806 	0	4.05178e-08
DL	0.307893	30	7	3	1	7	2	1	0	14713	28	0	29.0714	0	1.0421e-08
UL	0.307911	30	7	3	8	1	2	1	0	2104	28	0	29.0477 	0	4.73131e-08
DL	0.308143	30	8	0	1	7	2	1	0	14713	28	0	29.0552	0	1.95066e-08
DL	0.308393	30	8	1	1	7	2	1	0	14713	28	0	29.0922	0	3.20588e-08
DL	0.308643	30	8	2	1	7	2	1	0	14713	28	0	29.1007	0	6.6373e-08
